,fecha_opreal,hora_opreal,central_infotecnica_id,central_nombre,central_tipo,central_tipo_nemotecnico,generacion_real_mwh,generacion_real_ernc_mwh
96796,2021-04-07,6,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
97498,2021-04-07,2,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
98547,2021-04-07,3,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
98996,2021-04-07,19,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
99564,2021-04-07,5,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
100655,2021-04-07,7,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
100695,2021-04-07,4,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
101882,2021-04-07,8,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
102094,2021-04-07,18,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
103048,2021-04-07,9,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
103848,2021-04-07,10,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
104515,2021-04-07,11,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
105181,2021-04-07,12,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
105847,2021-04-07,13,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
106514,2021-04-07,14,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
107181,2021-04-07,15,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
107848,2021-04-07,16,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
108515,2021-04-07,17,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
109182,2021-04-07,20,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
109849,2021-04-07,21,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
110516,2021-04-07,22,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
111183,2021-04-07,23,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
111850,2021-04-07,24,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
112542,2021-04-08,1,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
113082,2021-04-08,23,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
113567,2021-04-08,2,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
114574,2021-04-08,3,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
115349,2021-04-08,4,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
115375,2021-04-08,8,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
116178,2021-04-08,5,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
116978,2021-04-08,6,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
117997,2021-04-08,7,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
